,sent_src,score_src,sum_src,sent_tgt,score_tgt,sum_tgt,score_diff,sum_diff,diff_pos
1195,Federal regulators have turned from sour to sweet on a proposed $2.8 billion merger of ice cream giants Nestle Holdings Inc. and Dreyer's Grand Ice Cream Inc.,[1 0 0 0 0],1,Federal regulators have changed their minds on a proposed $2.8 billion merger of ice cream giants Nestle Holdings and Dreyer's Grand Ice Cream.,[0 0 0 0 0],0,1,1,0
1204,"""The United States welcomes a greater NATO role in Iraq's stabilization,"" Mr. Powell told his colleagues in a speech today.",[0 0 0 1 0],1,"""The United States welcomes a greater NATO role in Iraq's stabilization,"" Powell said.",[0 0 0 0 0],0,1,-1,3
1214,"At the Pentagon, the Department of Defense's Inspector General has separately been asked to investigate how the telecom licences were awarded.",[0 1 0 0 0],1,But a source close to the Pentagon said the Defense Department's own inspector-general had been asked to investigate how the licences were awarded.,[0 0 0 0 0],0,1,1,1
1232,"On the upside, Coca-Cola Co. (nyse: KO - news - people) reported higher profit for the quarter early on Thursday, helped by European demand.",[1 1 1 0 0],3,"Coca-Cola Co. (KO) reported higher profit for the quarter, helped by European demand, early on Thursday.",[1 1 0 0 0],2,1,1,2
1235,"They made a similar discovery in Houston on another aircraft, Dallas-based Southwest said in a statement.",[0 1 0 0 0],1,The airline said a similar discovery was made on the plane in Houston.,[0 0 0 0 0],0,1,1,1
1236,"Mr. Spitzer said in a statement that the sentence ""reflects the seriousness with which our office and the courts view these crimes.""",[0 1 0 0 0],1,"""The sentence reflects the seriousness with which our office and the courts views these crimes,"" Spitzer said in a statement.",[0 0 0 0 0],0,1,-1,1
1245,"There are no plans to build permanent U.S. bases in Africa, Defense Department officials say.",[0 0 0 1 0],1,"There were no plans to build permanent US bases in Africa, Pentagon officials said.",[0 0 0 0 0],0,1,-1,3
1246,"Sarah Weddington, the abortion advocate and attorney who originally represented McCorvey, could not be reached for comment.",[0 1 0 0 1],2,"Sarah Weddington, the abortion advocate and lawyer who originally represented McCorvey, did not immediately return a call seeking comment.",[0 0 0 0 1],1,1,1,1
1248,"The Justice Department's Office of the Inspector General described ""significant problems"" in the Bush administration's actions toward the 762 foreigners held on immigration violations after the attacks.",[1 1 1 0 0],3,"The report by the Justice Department's inspector general found ""significant problems"" in the government's handling of foreigners who were jailed under blanket edicts adopted by the department after the attacks.",[0 1 1 0 0],2,1,-1,0
1249,"Under the proposed stock for stock transaction, LendingTree shareholders will get 0.6199 shares of USAI common stock for each share of LendingTree common stock.",[1 0 0 0 0],1,"Under the agreement, LendingTree shareholders would receive 0.6199 of a USAi share for each share in LendingTree.",[0 0 0 0 0],0,1,-1,0
1251,"Greenspan's Federal Reserve, the U.S. central bank, decides interest rates in the world's largest economy.",[1 1 0 0 0],2,"Greenspan is head of the U.S. central bank, which sets U.S. interest rates.",[0 1 0 0 0],1,1,-1,0
1252,"Others rushed up the aisle to vocally protest the remarks, and one student tossed his cap and gown to the stage before leaving.",[0 1 0 0 0],1,"A few tried to rush the podium, and at least one graduate tossed his cap and gown to the stage before leaving.",[0 0 0 0 0],0,1,1,1
1254,"""Iran should be on notice that attempts to remake Iraq in Iran's image will be aggressively put down,"" he said.",[0 0 0 1 0],1,"""Indeed, Iran should be put on notice that efforts to try to remake Iraq in their image will be aggressively put down,"" he said.",[0 0 0 0 0],0,1,-1,3
1255,"It is important for a process to be put into place, he said, that would permit a smooth transition from war to peace.",[1 0 0 0 0],1,"He added: ""Let the process be put in place that will ensure a smooth transition from war to peace.",[0 0 0 0 0],0,1,1,0
1257,"""If I was diagnosed today with CJD, I would ensure I received this treatment as soon as humanly possible.",[1 0 0 0 0],1,"He added that if he were diagnosed with vCJD ""I would ensure I received this treatment as soon as humanly possible"".",[0 0 0 0 0],0,1,1,0
1266,"""This new division will be focused on the vitally important task of protecting the nation's cyberassets so that we may best protect the nation's critical infrastructure assets,"" he added.",[0 0 0 1 0],1,"""This new division will be focused on the vitally important task of protecting the nation's cyber assets so that we may best protect the nation’s critical infrastructure assets.""",[0 0 0 0 0],0,1,-1,3
1272,"""The court expects that 25 years from now, the use of racial preferences will no longer be necessary,"" O'Connor wrote.",[0 0 0 1 0],1,"O'Connor wrote, ""We expect that 25 years from now, the use of racial preferences will no longer be necessary.""",[0 0 0 0 0],0,1,1,3
1277,"In afternoon trading in Europe, France's CAC-40 rose 1.5 percent, Britain's FTSE 100 gained 0.3 percent and Germany's DAX index advanced 1.2 percent.",[1 1 0 1 0],3,"In afternoon trading in Europe, France's CAC-40 advanced and Britain's FTSE 100 each gained 0.7 percent, while Germany's DAX index rose 0.6 percent.",[1 1 0 0 0],2,1,1,3
1280,"As such, consumers want to easily enjoy this content, regardless of the source, across different devices and locations in the home, said the group.",[0 0 0 1 0],1,"The companies say their consumers want to enjoy their content, regardless of the source, across different devices and locations in the home.",[0 0 0 0 0],0,1,1,3
1293,"The blue-chip Dow Jones industrial average <.DJI> slipped 44.32 points, or 0.48 percent, to 9,240.25.",[1 1 1 0 0],3,"The Dow Jones industrial average closed down 18.06, or 0.2 per cent, at 9266.51.",[1 1 0 0 0],2,1,-1,2
1296,"""We will accede to the request while we explore all of our options,"" VeriSign spokesman Tom Galvin told Reuters.",[0 0 0 1 0],1,"We will accede to the request while we explore all of our options,"" said Russell Lewis, executive vice president of VeriSign's Naming and Directory Services Group.",[0 0 0 0 0],0,1,1,3
1297,"In a regulatory filing, EDS said the SEC had asked for information related to its troubled IT outsourcing contract with the US Navy.",[1 1 0 0 0],2,Electronic Data Systems Corp. Thursday said the Securities and Exchange Commission has asked the company for documents related to its large contract with the U.S. Navy.,[1 0 0 0 0],1,1,-1,1
1302,"A year or two later, 259, or 10 per cent, of the youths reported that they had started to smoke, or had taken just a few puffs.",[1 0 0 1 0],2,"Within two years, 259, or 10 percent, of the youths reported they had started to smoke or had at least taken a few puffs.",[1 0 0 0 0],1,1,1,3
1305,Officials with North Carolina Speedway at Rockingham could not be reached.,[1 1 0 0 0],2,NASCAR officials could not be reached for comment Tuesday.,[0 1 0 0 0],1,1,1,0
1307,Chief Justice William Rehnquist and Justice Clarence Thomas were the two other dissenting judges.,[1 1 0 0 0],2,His dissent was joined by Chief Justice William H. Rehnquist and Justice Clarence Thomas.,[1 0 0 0 0],1,1,1,1
1312,"""The United States welcomes a greater NATO role in Iraq's stabilisation,"" Powell said, according to the text of prepared remarks seen by Reuters.",[1 0 0 0 0],1,"""The United States welcomes a greater NATO role in Iraq's stabilization,"" Mr. Powell said in a speech to fellow NATO ministers.",[0 0 0 0 0],0,1,1,0
1318,"""It's obvious I'm not riding as well as years past,"" Armstrong said at a news conference.",[0 0 0 1 0],1,"""I think it's obvious I'm not riding as well as I have in years past.",[0 0 0 0 0],0,1,1,3
1319,One of those infected reported having recent contact with exotic animals there.,[1 1 0 0 0],2,All those infected had recent close contact with prairie dogs.,[0 1 0 0 0],1,1,-1,0
1327,"The blue-chip Dow Jones industrial average .DJI added 38 points, or 0.42 percent, to 9,165.",[1 1 1 0 0],3,"The Dow Jones industrial average .DJI ended up 64.64 points, or 0.71 percent, at 9,191.09, according to the latest available data.",[1 1 0 0 0],2,1,-1,2
1337,"Detective Chief Inspector Norman McKinlay, leading the investigation, said: ""There is evidence a body or bodies have been in this area.",[0 0 0 1 0],1,"Det Chief Insp Norman McKinlay said there was ""evidence a body or bodies have been in this area"".",[0 0 0 0 0],0,1,-1,3
1338,"FCC Chairman Michael Powell said in a statement that the ruling would ""throw a monkey wrench into the FCC's efforts to develop a vitally important national broadband policy.""",[0 1 0 0 0],1,"He added that the decision will ""throw a monkey wrench into the FCC's efforts to develop a vitally important national broadband policy.""",[0 0 0 0 0],0,1,1,1
1339,"Mortgage rates around the country fell again this week, the ninth time this year rates have hit an all-time low.",[0 1 0 0 0],1,It marked the fourth straight week and the ninth time this year that rates on this benchmark mortgage fell to an all-time weekly low.,[0 0 0 0 0],0,1,-1,1
1341,"Then they moved inside the mosque and started firing on the people,'' he told the Associated Press.",[0 0 0 1 0],1,"""Then they moved inside the mosque and started firing on the people.""",[0 0 0 0 0],0,1,1,3
1342,The company is in the early stages of testing the drug for rheumatoid arthritis.,[0 1 0 0 0],1,The company is also testing its cancer drug Rituxan for use by rheumatoid arthritis patients.,[0 0 0 0 0],0,1,1,1
1344,"Several relatives of Australian victims of the attack sat in the front row of the court, but few Balinese attended the trial.",[1 1 0 0 0],2,"Several relatives of Australian victims of the attack were in court to witness the proceedings, but few Balinese attended the trial.",[0 1 0 0 0],1,1,-1,0
1351,Qualcomm has enjoyed many years of selling CDMA chips against little or no competition.,[1 0 0 0 0],1,"""Qualcomm has enjoyed many years of selling...against little or no competition,"" Hubach said in the statement.",[0 0 0 0 0],0,1,1,0
1364,"Intel said midway through its quarter, which ended in June, that business was exactly as expected.",[1 1 0 1 0],3,Intel updated investors midway through the quarter and said business was proceeding exactly as planned.,[1 1 0 0 0],2,1,-1,3
1366,"""No data exists to indicate that the situation with repair stations poses a safety concern.""",[0 1 0 0 0],1,"However, FAA spokeswoman Kathleen Bergen said no data indicate that the situation poses safety problems.",[0 0 0 0 0],0,1,1,1
1373,"Mohcine Douali, who lives in the centre of Algiers, said: ""It was a great shock.",[0 0 0 0 1],1,"""It was a great shock,"" said Mohcine Douali, who lives in central Algiers.",[0 0 0 0 0],0,1,1,4
1381,"In a 1992 case, the Supreme Court reaffirmed the basic findings of Roe protecting abortion choice, but lessened the standards of protection guaranteed to women by Roe.",[1 1 0 0 0],2,The court's 1992 decision reaffirmed the basic findings of Roe protecting abortion choice but lessened the standards of protection guaranteed to women by Roe.,[0 1 0 0 0],1,1,-1,0
1383,"More than 60 per cent of its 1,000 employees at the time were killed.",[1 1 1 0 0],3,"More than 60 percent of the company's 1,000 employees were killed in the attack.",[0 1 1 0 0],2,1,-1,0
1386,"However, one subset of patients, women on hormonal treatment following chemotherapy, ""appeared to show a favorable trend to improvement in survival.""",[1 1 0 0 1],3,"However, one subset of women — those on hormonal treatment following chemotherapy — appeared to show improvement in survival.",[0 1 0 0 1],2,1,-1,0
1387,"Intel’s Xeon surpassed HP’s PA-RISC to become the most often used processor, rising from 76 systems in June to 152 systems in November.",[1 1 0 0 0],2,"Intel's Xeon surpassed HP's PA-RISC to become the processor most often used, rising from 76 systems in June to 152 systems in November.",[1 0 0 0 0],1,1,1,1
1391,"Dell's Personal All-in-One A920 is an entry-level device that combines printer, scanner and copier functions for $89.",[1 1 1 0 0],3,"The A920 comes with a printer, scanner, and copier for $89.",[1 1 0 0 0],2,1,-1,2
1400,"With 4.7 million people infected with HIV or AIDS, South Africa has the world's highest AIDS caseload.",[1 1 0 1 0],3,South Africa has the world's highest caseload with 4.7 million people infected with HIV or AIDS.,[1 1 0 0 0],2,1,-1,3
1402,"""The investigation appears to be focused on certain accounting practices common to the interactive entertainment industry, with specific emphasis on revenue recognition,"" Activision said in an SEC filing.",[1 1 0 0 0],2,"According to the company filings, the investigation ""appears to be focused on certain accounting practices common to the interactive entertainment industry, with specific emphasis on revenue recognition.""",[0 1 0 0 0],1,1,1,0
1411,Two Atlanta-based companies that have not been accused of wrongdoing -- Delta Air Lines and Home Depot -- were also mentioned by witnesses as having excessive pay packages for CEOs.,[0 1 1 0 1],3,Two Atlanta companies that have not been accused of wrongdoing -- Delta Air Lines Inc. and the Home Depot -- were mentioned as having excessive pay packages for its CEOs.,[0 1 1 0 0],2,1,-1,4
1418,Dealers said the yen was also undermined by falling Japanese interest rates.,[1 0 0 0 0],1,Dealers said the dollar also drew some support due to falling Japanese interest rates.,[0 0 0 0 0],0,1,1,0
1420,SMILING bomber Amrozi was inspired to launch an attack on Bali after his former Australian boss revealed the tourist island was a haven for sinful behaviour by westerners.,[0 1 0 0 0],1,BALI bomber Amrozi claims he was inspired to launch an attack on the tourist island after his Australian boss revealed Bali was a haven for sinful behaviour of Westerners.,[0 0 0 0 0],0,1,1,1
1423,SCC argued that Lexmark was trying to shield itself from competition by installing a chip on its toner cartridges to make it difficult for third-party manufacturers to make generic cartridges.,[1 0 0 0 0],1,The company also argued that Lexmark was trying to squash competition by installing a microchip on its toner cartridges to make it difficult for third-party manufacturers to make generic cartridges.,[0 0 0 0 0],0,1,1,0
1429,"Under the 1973 Roe vs. Wade ruling, before a fetus could live outside the womb, the abortion decision was left to the woman and her physician.",[1 1 0 1 0],3,"Under the original Roe v. Wade ruling, the abortion decision was left to the woman and her physician before a fetus could live outside the womb.",[1 1 0 0 0],2,1,1,3
1433,A total of 17 confirmed cases of cholera were reported yesterday by the World Health Organisation in the southern Iraqi city of Basra.,[1 0 0 0 0],1,"A total of 17 cases have been confirmed in the southern city of Basra, the Organization said.",[0 0 0 0 0],0,1,-1,0
1437,"That is evident from their failure, three times in a row, to get a big enough turnout to elect a president.",[1 1 0 0 0],2,"Three times in a row, they failed to get a big _enough turnout to elect a president.",[0 1 0 0 0],1,1,1,0
1439,"His election was hailed in some quarters as a breakthrough for gay rights, but condemned in others as a violation of God's word.",[1 0 0 0 0],1,"Robinson's election was hailed in some quarters as a major breakthrough for gay rights, but condemned by others as a ""rebellion against God's created order.""",[0 0 0 0 0],0,1,1,0
1442,"Come tonight, 21-year-old Morgan and as many as 1,200 fellow students at Wheaton College will gather in the gym for the first real dance in the school's 143-year history.",[0 0 1 0 0],1,"As many as 1,200 students at Wheaton College will gather in the gym Friday night for the first real dance in the Christian school's 143-year history.",[0 0 0 0 0],0,1,1,2
1449,"And in the Muslim world, Osama bin Laden, the missing leader of the al-Qaida terrorist network, is becoming more of a hero, not less of one.",[1 1 0 0 1],3,"And in the Muslim world, Osama bin Laden is becoming more of a hero, not less of one.",[1 1 0 0 0],2,1,-1,4
1458,"Disney has repeatedly said the ""safety and enjoyment"" of its guests were the reasons the company wanted the no-fly zones, and wants them maintained.",[1 0 0 0 0],1,"Disney spokeswoman Rena Callahan said the ""safety and enjoyment"" of its guests were the only reasons the company wanted the no-fly zones, and wants them kept in place.",[0 0 0 0 0],0,1,1,0
1459,Sources who knew of the bidding said last week that cable TV company Comcast Corp. was also looking at VUE.,[0 0 0 1 0],1,"Late last week, sources told Reuters cable TV company Comcast Corp.CMCSA.O also was looking at buying VUE assets.",[0 0 0 0 0],0,1,1,3
1460,"As of yesterday, the total number of National Guard and Reserve troops called to duty worldwide stood at 154,603.",[1 1 1 0 0],3,"On Wednesday, the total of National Guard and Reserve members called to active duty worldwide stood at 154,603.",[1 1 0 0 0],2,1,-1,2
1462,"But at the age of 15, she weighed a whopping 117kg and came to a difficult decision: it was time to try surgery.",[0 1 0 1 0],2,"But at age 15, she'd reached 260 pounds and a difficult decision: It was time to try surgery.",[0 0 0 1 0],1,1,-1,1
1463,"""Of course I want to win again, but I think is worse when you never won before because you are very anxious,"" he says.",[0 0 0 1 0],1,"""Of course, I want to win again, but it is worse when you have never won because you are anxious,"" he said.",[0 0 0 0 0],0,1,1,3
1467,"But MTA officials appropriated the money to the 2003 and 2004 budgets without notifying riders or even the MTA board members considering the 50-cent hike, Hevesi found.",[0 0 0 1 0],1,"MTA officials appropriated the surplus money to later years' budgets without notifying riders or the MTA board members when the 50-cent hike was being considered, he said.",[0 0 0 0 0],0,1,1,3
1477,One of the most well studied facets of temperament is how people respond to novelty.,[1 1 1 0 0],3,One of the defining and well-studied characteristics of temperament is how people react to novelty.,[0 1 1 0 0],2,1,1,0
1480,"In July, EMC agreed to acquire Legato Systems (Nasdaq: LGTO) for about $1.2 billion.",[1 1 0 0 0],2,"In July, the Hopkinton, Mass., company agreed to buy Legato Systems of Mountain View for $1.3 billion.",[1 0 0 0 0],1,1,1,1
1485,"Matthew Lovett, 18, who just graduated from Collingswood High School, was among those arrested.",[1 1 0 0 1],3,"Matthew Lovett, 18, of Oaklyn, N.J., was among those arrested.",[1 1 0 0 0],2,1,1,4
1494,The legal ruling follows three days of wild volatility in RIM's stock over speculation that PC giant Hewlett-Packard Co. may be bidding for the company.,[1 1 0 0 0],2,The legal ruling follows three days of intense speculation Hewlett-Packard Co. may be bidding for the company.,[1 0 0 0 0],1,1,-1,1
1497,"Since Perkins' arrival at UConn in 1990 from Maryland, UConn has fielded six national championship teams in three sports - men's and women's basketball and men's soccer.",[1 1 0 1 0],3,"Since Perkins arrived at UConn in 1990 from Maryland, the Huskies have fielded six national championship teams in three sports -- men's basketball, women's basketball and men's soccer.",[1 0 0 1 0],2,1,1,1
1499,"Although Prempro pills were used in the study, the researchers said they had no evidence that other brands were safer.",[1 1 0 1 0],3,"Athough Prempro pills were used in the study, the researchers say they have no evidence that other brands are safer.",[1 1 0 0 0],2,1,1,3
1501,"Also Monday, one soldier died and three were wounded when their vehicle hit a land mine or a piece of unexploded ordnance in Baghdad.",[1 1 0 0 0],2,"Another soldier died and three were wounded when their vehicle hit a land mine or a piece of unexploded ordnance in Baghdad, a military statement said Tuesday.",[0 1 0 0 0],1,1,-1,0
1508,He is charged in three bombings in Atlanta including a blast at the 1996 Olympics and one in Alabama.,[1 1 0 0 0],2,He is charged in three bombings in Atlanta - including a blast at the 1996 Olympics - along with the bombing in Alabama.,[0 1 0 0 0],1,1,1,0
1526,His hatred for these people had germinated from these discussions and helped cement his belief that violence was the panacea.,[1 0 0 0 0],1,He said his hatred for such people grew from these discussions and had helped convince him violence was the answer.,[0 0 0 0 0],0,1,-1,0
1527,"Under the plan, which GM and Dow were to announce Wednesday in Washington, GM will provide Dow manufacturing plants with trucks containing fuel cell conversion equipment.",[1 1 0 1 0],3,"Under the plan being announced Wednesday in Washington, GM will provide Dow manufacturing plants with trucks containing fuel cell conversion equipment.",[1 1 0 0 0],2,1,-1,3
1530,Changes in air pollution rules would be up to the Environmental Protection Agency.,[0 1 0 0 0],1,But Abraham said changes in air-pollution rules would be up to the Environmental Protection Agency (EPA).,[0 0 0 0 0],0,1,-1,1
1535,All five suspects were charged with robbery and criminal impersonation of a police officer.,[0 1 0 0 0],1,They face charges of robbery and criminal impersonation of a police officer.,[0 0 0 0 0],0,1,-1,1
1537,Southwest said it had already inspected its fleet of 385 aircraft and found no additional suspicious items.,[1 1 0 0 0],2,Southwest said it completed inspections of its entire fleet of 385 aircraft and found no additional items.,[1 0 0 0 0],1,1,1,1
1556,"Santa Clara-based Intel had sought the injunction, arguing that Hamidi was trespassing on its computer servers just as though he were intruding on private property.",[1 0 0 0 0],1,"A lower court had considered Hamidi to be trespassing on the Santa Clara-based chipmaker's servers, just as if somebody were squatting on a piece of physical private property.",[0 0 0 0 0],0,1,1,0
1558,"""The only thing that I know for certain is that these are bad people,"" Bush told a joint news conference with Blair.",[0 0 0 1 0],1,"But he added: ""The only thing I know for certain is that these are bad people.""",[0 0 0 0 0],0,1,1,3
1564,"""This is a cloud hanging over their credibility, their word,"" said Hagel.",[0 0 0 1 0],1,"""This is a cloud hanging over their credibility, their word,"" Hagel said on ABC's ""This Week.""",[0 0 0 0 0],0,1,1,3
1566,"The player's eyes were bloodshot and a blood-alcohol test produced a reading of 0.18 - well above Tennessee's level of presumed intoxication of 0.10, the report said.",[0 0 0 1 0],1,"He failed a field sobriety test and a blood-alcohol test produced a reading of 0.18 – well above Tennessee's level of presumed intoxication of 0.10, the report said.",[0 0 0 0 0],0,1,1,3
1577,"Kenneth ""Supreme"" McGriff was sentenced to 37 months in prison for illegally possessing a handgun as a convicted felon at a firing range in Maryland.",[0 1 0 0 0],1,"Kenneth ""Supreme"" McGriff was sentenced to 37 months by U.S. District Judge J. Frederick Motz for illegally possessing a handgun as a convicted felon at a Maryland firing range.",[0 0 0 0 0],0,1,1,1
1579,"In morning trading on the New York Stock Exchange, Coca-Cola shares were down 34 cents at $43.67.",[1 1 0 1 0],3,"Coca-Cola's shares were steady in late morning trading in New York, down just 13 cents to $43.88.",[1 1 0 0 0],2,1,1,3
1580,"Only about one-third of parents of sexually experienced 14-year-olds know that their child has had sex,"" the report says.",[0 0 0 1 0],1,The study found that only about one-third of parents of sexually experienced 14-year-olds knew their children were having sex.,[0 0 0 0 0],0,1,-1,3
1581,"Bush said in a statement that he ordered the U.S. Treasury Department to act following Tuesday's suicide bombing attack in Jerusalem, which killed 20 people.",[0 1 0 0 0],1,Mr. Bush said he was taking the action in response to Hamas's claim of responsibility for the bus bombing in Israel on Tuesday that killed 20 people.,[0 0 0 0 0],0,1,-1,1
1585,"""I know of nobody who pressured anybody,"" Douglas Feith, undersecretary of defense for policy, said at a Pentagon briefing.",[0 0 0 0 1],1,"""I know of no pressure,"" said Mr. Feith, the under secretary of defense for policy.",[0 0 0 0 0],0,1,-1,4
1588,"The number of host names using BSD is nearing 4 million, whereas the number of active sites is nearly 2 million, Netcraft said.",[1 1 0 0 0],2,"The number of hostnames using BSD is nearing four million, while the number of active sites is nearly two million, Netcraft said.",[0 1 0 0 0],1,1,-1,0
1594,"""After careful analysis, WHO has concluded that the risk to travellers to Beijing is now minimal,"" Omi told a news conference in Beijing on Tuesday.",[0 0 0 1 0],1,"""After careful analysis, WHO has concluded that the risk to travelers to Beijing is now minimal,"" Omi said today at a news conference in Beijing.",[0 0 0 0 0],0,1,-1,3
1599,"Her father, Florin Cioaba, the king of Transylvania's Gypsies, had her brought back and she was married against her will.",[1 0 0 0 1],2,"Her father, Roma King Florin Cioaba, had her brought back and she was promptly married against her will.",[1 0 0 0 0],1,1,1,4
1615,"""Frank Quattrone is innocent,"" Keker said in a statement.",[1 0 0 0 0],1,Quattrone lawyer John W. Keker said his client is innocent.,[0 0 0 0 0],0,1,1,0
1622,"For now, the company's management appears to be standing behind Stewart.",[1 1 0 0 0],2,"Thus far, Stewart's company appears ready to stand behind her.",[0 1 0 0 0],1,1,-1,0
1627,"Ms Pike also said it was not unusual for hospitals to go into deficit, but the Government would ensure they remained viable.",[0 0 0 1 0],1,But Ms Pike said it was not unusual for hospitals to go into deficit and promised services would not be curtailed.,[0 0 0 0 0],0,1,1,3
1631,"Senate Armed Services Committee Chairman John Warner, R-Va., said he plans hearings.",[0 0 0 1 0],1,"Senate Armed Services Committee Chairman Sen. John Warner, R-Va., is also considering a look into the issue.",[0 0 0 0 0],0,1,-1,3
1633,"""The Congress of the United States has never — ever — outlawed a medical procedure,"" said Rep. Louise McIntosh Slaughter (D-N.Y.).",[0 0 1 0 0],1,"Rep. Louise Slaughter, D-N.Y., declared, ""The Congress of the United States has never -- ever -- outlawed a medical procedure.",[0 0 0 0 0],0,1,-1,2
1638,"Nick Markakis, a left-hander from Young Harris Junior College in Georgia, went to the Orioles with the seventh pick.",[1 1 0 0 1],3,"Next, Baltimore took Nick Markakis, a left-handed pitcher and outfielder from Young Harris Junior College in Georgia.",[1 1 0 0 0],2,1,1,4
1639,He was the ace of diamonds in a U.S. deck of cards showing pictures of most-wanted Iraqi leaders.,[1 1 0 0 0],2,He was the Ace of Diamonds in a pack of cards depicting Iraqi fugitives that has been issued to U.S. troops.,[0 1 0 0 0],1,1,-1,0
1650,"Medicaid, which receives federal and state funding, is the government health-insurance program for the poor.",[1 1 0 0 1],3,Medicaid is the federal and state government health insurance program for the poor.,[1 1 0 0 0],2,1,-1,4
1654,"UAL bankruptcy attorney James Sprayregen said at a court hearing the company will submit an updated business plan to the Air Transportation Stabilization Board, but gave no timeframe.",[0 0 0 1 0],1,"UAL attorney James Sprayregen told a court hearing yesterday that it would submit a fresh business plan, but gave no indication of when.",[0 0 0 0 0],0,1,-1,3
1663,"Toll, Australia's second-largest transport company, last week offered NZ75 a share for Tranz Rail.",[1 0 0 0 1],2,"Toll last week offered to buy the company for NZ75c a share, or $NZ158 million.",[1 0 0 0 0],1,1,1,4
1672,"In Somalia, only 26% of adolescent females (aged 10-19) have heard of Aids and just 1% know how to protect themselves.",[0 0 1 0 0],1,"In Somalia, the report says, only 26 percent of adolescent girls have heard of AIDS and only 1 percent know how to protect themselves.",[0 0 0 0 0],0,1,1,2
1683,No pill is ever expected to replace earplugs and other mechanical ear protection.,[0 1 0 0 0],1,Nobody is saying such a pill could replace earplugs and other mechanical ear protection.,[0 0 0 0 0],0,1,1,1
1684,"Wal-Mart, the nation's largest private employer, has expanded its antidiscrimination policy to protect gay and lesbian employees, company officials said Tuesday.",[1 0 0 0 0],1,"Wal-Mart Stores Inc., the nation's largest private employer, will now include gays and lesbians in its anti-discrimination policy, company officials said Wednesday.",[0 0 0 0 0],0,1,1,0
1689,"Metro, bus and local rail services in France's four largest towns -- Paris, Lyon, Lille and Marseille -- were severely disrupted, Europe 1 radio reported.",[0 0 0 1 0],1,"Subway, bus and suburban rail services in France's four largest cities -- Paris, Lyon, Lille and Marseille -- were severely disrupted, transport authorities said.",[0 0 0 0 0],0,1,1,3
1698,"""Once the legislation enters into force, it opens the way for police and other personnel to be deployed to Solomon Islands and to carry out law-enforcement functions.",[1 0 0 0 0],1,The legislation opens the way for police and other personnel to be deployed to the Solomons and to carry out law enforcement functions.,[0 0 0 0 0],0,1,-1,0
1700,"According to the BBC, the group's interim report will say its inspectors have not even unearthed ""minute amounts of nuclear, chemical or biological weapons material"".",[0 1 0 0 0],1,"Mr Neil said that according to the source, the report will say its inspectors have not even unearthed ""minute amounts of nuclear, chemical or biological weapons material"".",[0 0 0 0 0],0,1,-1,1
1704,"""In Iraq,"" Sen. Pat Roberts, R-Kan., chairman of the intelligence committee, said on CNN's ""Late Edition"" Sunday, ""we're now fighting an anti-guerrilla ... effort.""",[0 0 0 1 1],2,"""In Iraq,"" Sen. Pat Roberts (R-Kan.), chairman of the intelligence committee, said on CNN's ""Late Edition"" yesterday, ""we're now fighting an anti-guerrilla . . .effort.""",[0 0 0 1 0],1,1,1,4
1711,"""It's unfortunate that Senator Clinton would seek to politicize such a qualified nominee as Governor Leavitt,"" said Taylor Gross, a White House spokesman.",[0 0 0 1 0],1,"""It is unfortunate that Senator Clinton would seek to politicize such a qualified nominee as Governor Leavitt.",[0 0 0 0 0],0,1,1,3
1713,"Ride will be enshrined along with astronauts Story Musgrave, Robert ""Hoot"" Gibson and Daniel Brandenstein.",[1 1 0 0 0],2,"Ride, astronauts Story Musgrave, Robert ""Hoot"" Gibson and Daniel Brandenstein will enter the hall of fame together.",[1 0 0 0 0],1,1,-1,1
1714,"But that amount would probably be impossible to pass in the Senate, where Republican moderates have refused to go above $350 billion.",[1 1 0 0 0],2,"Such an amount would probably be unable to summon a majority of the Senate, where Republican moderates have refused to go above $350 billion.",[0 1 0 0 0],1,1,1,0
1729,"And because it is so far out in international water, salvage company Odyssey Marine Exploration doesn't have to share the wealth with coastal state governments.",[1 1 0 0 0],2,"It is so far out in international water that the finder Odyssey Marine Exploration, of Tampa, Fla., does not have to share the wealth with any governments.",[0 1 0 0 0],1,1,-1,0
1732,"""Of course I want to win again, but I think is worse when you never won before because you are very anxious,"" he says.",[0 0 0 1 0],1,"""Of course, I want to win again, but I think it's worse when you have never won because you get anxious.",[0 0 0 0 0],0,1,-1,3
1733,"CS Financial Services made a 666 million franc net profit, six percent less than in the fourth quarter of last year.",[1 1 0 0 0],2,"CS's other main division, Financial Services, made a 666 million franc net profit, six percent below the prior quarter.",[0 1 0 0 0],1,1,-1,0
1743,Wild rock legend Ozzy Osbourne was in intensive care today as he continued his “steady” recovery from a quad bike accident.,[0 1 0 0 0],1,"Wild rock legend Ozzy Osbourne could be kept in intensive care for “several days” following his quad bike accident, his doctor said tonight.",[0 0 0 0 0],0,1,1,1
1748,All five were charged with robbery and criminal impersonation of a police officer.,[0 1 0 0 0],1,"The teens are being held on charges of robbery and criminal impersonation of a police officer, sources said.",[0 0 0 0 0],0,1,1,1
1751,"Siebel, whose fortunes soared with the tech boom, has cut nearly one-third of its workforce since the end of 2001.",[1 1 0 0 1],3,"With the purge, Siebel will have cut 2,400 employees - or nearly one-third of its workforce - since the end of 2001.",[1 1 0 0 0],2,1,1,4
